SD,owop,owgp,gwgp,gwop,county
1997-04-01,2523361.0,3166971.0,264330.0,797.0,ANDREWS
1997-05-01,2586431.0,3382350.0,264043.0,761.0,ANDREWS
1997-06-01,2503070.0,3188778.0,251184.0,668.0,ANDREWS
1997-07-01,2570483.0,3213335.0,262108.0,633.0,ANDREWS
1997-08-01,2551308.0,3151307.0,259004.0,647.0,ANDREWS
1997-09-01,2485986.0,3050459.0,203537.0,418.0,ANDREWS
1997-10-01,2602993.0,3107182.0,242115.0,594.0,ANDREWS
1997-11-01,2526322.0,3051060.0,258312.0,736.0,ANDREWS
1997-12-01,2599881.0,3101498.0,266633.0,880.0,ANDREWS
1998-01-01,2610744.0,3074711.0,264976.0,1050.0,ANDREWS
1998-02-01,2343038.0,2775253.0,236376.0,812.0,ANDREWS
1998-03-01,2556558.0,3121027.0,258676.0,870.0,ANDREWS
1998-04-01,2447560.0,3067848.0,245350.0,620.0,ANDREWS
1998-05-01,2511711.0,3012838.0,264690.0,687.0,ANDREWS
1998-06-01,2412568.0,3256317.0,252018.0,506.0,ANDREWS
1998-07-01,2442215.0,3352164.0,263509.0,503.0,ANDREWS
1998-08-01,2458740.0,3194244.0,267629.0,550.0,ANDREWS
1998-09-01,2355403.0,3140104.0,244724.0,534.0,ANDREWS
1998-10-01,2400607.0,3061777.0,253404.0,602.0,ANDREWS
1998-11-01,2300383.0,2731998.0,245383.0,731.0,ANDREWS
1998-12-01,2324540.0,2803773.0,242726.0,535.0,ANDREWS
1999-01-01,2390779.0,2265024.0,232892.0,579.0,ANDREWS
1999-02-01,2146453.0,2516562.0,211537.0,522.0,ANDREWS
1999-03-01,2320034.0,2741767.0,232528.0,514.0,ANDREWS
1999-04-01,2236091.0,2572089.0,218335.0,507.0,ANDREWS
1999-05-01,2281264.0,2748498.0,228149.0,529.0,ANDREWS
1999-06-01,2186418.0,2625430.0,205677.0,348.0,ANDREWS
1999-07-01,2234003.0,2735419.0,195353.0,386.0,ANDREWS
1999-08-01,2191242.0,2694895.0,197255.0,363.0,ANDREWS
1999-09-01,2158504.0,2588899.0,201712.0,427.0,ANDREWS
1999-10-01,2273356.0,2594113.0,205355.0,460.0,ANDREWS
1999-11-01,2215611.0,2495719.0,195813.0,442.0,ANDREWS
1999-12-01,2255983.0,2553822.0,209471.0,518.0,ANDREWS
2000-01-01,2265326.0,2698470.0,216952.0,364.0,ANDREWS
2000-02-01,2133449.0,2625343.0,187827.0,397.0,ANDREWS
2000-03-01,2260622.0,2822702.0,195756.0,441.0,ANDREWS
2000-04-01,2195791.0,2725776.0,187591.0,408.0,ANDREWS
2000-05-01,2229022.0,2672099.0,168005.0,428.0,ANDREWS
2000-06-01,2091061.0,2715131.0,189807.0,432.0,ANDREWS
